product_number,name,description,price,category_name,category_id,parent_category_id,variant,manufacturer,tag
P0000021,Product 21,Description of Product 21,944.41,Electronics,1001,1005,Color:Black;Size:M,Panasonic,Electronics;Living Room
P0000022,Product 22,Description of Product 22,567.17,Toys,1005,1002,Color:Blue;Size:M,Ikea,Furniture;Home
P0000023,Product 23,Description of Product 23,401.53,Kitchen,1003,1001,Color:Brown;Size:M;Material:Plastic,Panasonic,Smartphones;Home
P0000024,Product 24,Description of Product 24,460.09,Kitchen,1003,,Color:White;Size:XL;Material:Plastic,Panasonic,Living Room;Gadgets
P0000025,Product 25,Description of Product 25,199.96,Furniture,1004,1003,Color:Blue;Size:M;Material:Plastic,Panasonic,Furniture;Utensils
P0000026,Product 26,Description of Product 26,264.02,Electronics,1001,1005,Color:Black;Size:L,Philips,Gadgets;Utensils
P0000027,Product 27,Description of Product 27,687.64,Furniture,1004,1002,Color:Blue;Size:M;Material:Steel,Samsung,Kitchen;Furniture
P0000028,Product 28,Description of Product 28,934.71,Books,1006,1001,Color:Blue;Size:S,Ikea,Smartphones;Living Room
P0000029,Product 29,Description of Product 29,581.49,Electronics,1001,1005,Color:Red;Size:S,Sony,Smartphones;Kitchen
P0000030,Product 30,Description of Product 30,779.36,Furniture,1004,1005,Color:White;Size:L;Material:Wood,Sony,Kitchen;Smartphones
P0000031,Product 31,Description of Product 31,499.22,Kitchen,1003,,Color:Red;Size:M;Material:Steel,Philips,Home;Electronics
P0000032,Product 32,Description of Product 32,729.0,Electronics,1001,1001,Color:Blue;Size:S,Ikea,Home;Electronics
P0000033,Product 33,Description of Product 33,513.35,Toys,1005,,Color:Black;Size:S,LG,Kitchen;Home
P0000034,Product 34,Description of Product 34,508.67,Furniture,1004,1001,Color:Black;Size:M;Material:Wood,LG,Living Room;Utensils
P0000035,Product 35,Description of Product 35,895.02,Kitchen,1003,1005,Color:Red;Size:M;Material:Steel,Sony,Kitchen;Furniture
P0000036,Product 36,Description of Product 36,946.6,Electronics,1001,1001,Color:Red;Size:S,LG,Furniture;Smartphones
P0000037,Product 37,Description of Product 37,788.91,Books,1006,1003,Color:Red;Size:M,Ikea,Electronics;Utensils
P0000038,Product 38,Description of Product 38,884.49,Toys,1005,1005,Color:Blue;Size:S,Samsung,Smartphones;Home
P0000039,Product 39,Description of Product 39,772.3,Books,1006,1004,Color:Brown;Size:XL,LG,Electronics;Furniture
P0000040,Product 40,Description of Product 40,273.91,Furniture,1004,1004,Color:Blue;Size:M;Material:Steel,Ikea,Kitchen;Gadgets
P0000041,Product 41,Description of Product 41,876.08,Electronics,1001,,Color:Blue;Size:S,Samsung,Kitchen;Furniture
P0000042,Product 42,Description of Product 42,725.5,Books,1006,,Color:White;Size:S,LG,Home;Smartphones
P0000043,Product 43,Description of Product 43,128.65,Toys,1005,1001,Color:Black;Size:M,Sony,Electronics;Utensils
P0000044,Product 44,Description of Product 44,231.25,Books,1006,,Color:Blue;Size:M,LG,Home;Gadgets
P0000045,Product 45,Description of Product 45,795.17,Kitchen,1003,1003,Color:Brown;Size:M;Material:Plastic,Ikea,Kitchen;Utensils
P0000046,Product 46,Description of Product 46,236.56,Home Appliances,1002,1002,Color:Red;Size:M;Voltage:110V,Sony,Gadgets;Kitchen
P0000047,Product 47,Description of Product 47,162.27,Electronics,1001,,Color:Blue;Size:L,Ikea,Furniture;Kitchen
P0000048,Product 48,Description of Product 48,619.03,Toys,1005,,Color:Brown;Size:L,Philips,Smartphones;Kitchen
P0000049,Product 49,Description of Product 49,195.39,Kitchen,1003,1003,Color:Red;Size:M;Material:Plastic,Philips,Utensils;Home
P0000050,Product 50,Description of Product 50,380.03,Books,1006,,Color:Red;Size:L,Philips,Gadgets;Living Room
P0000051,Product 51,Description of Product 51,732.12,Home Appliances,1002,1002,Color:Blue;Size:L;Voltage:220V,Sony,Gadgets;Home
P0000052,Product 52,Description of Product 52,662.08,Books,1006,1005,Color:Blue;Size:XL,Ikea,Kitchen;Home
P0000053,Product 53,Description of Product 53,916.8,Toys,1005,1003,Color:Blue;Size:L,LG,Utensils;Electronics
P0000054,Product 54,Description of Product 54,80.59,Electronics,1001,1005,Color:Black;Size:S,Philips,Furniture;Utensils
P0000055,Product 55,Description of Product 55,445.26,Furniture,1004,1004,Color:Red;Size:S;Material:Steel,Panasonic,Kitchen;Utensils
P0000056,Product 56,Description of Product 56,764.44,Home Appliances,1002,1003,Color:White;Size:M;Voltage:110V,Ikea,Gadgets;Electronics
P0000057,Product 57,Description of Product 57,29.27,Furniture,1004,1004,Color:Red;Size:L;Material:Plastic,Philips,Electronics;Furniture
P0000058,Product 58,Description of Product 58,878.14,Home Appliances,1002,1005,Color:Brown;Size:L;Voltage:110V,Samsung,Gadgets;Electronics
P0000059,Product 59,Description of Product 59,641.72,Electronics,1001,1005,Color:White;Size:S,Ikea,Kitchen;Living Room
P0000060,Product 60,Description of Product 60,323.01,Books,1006,1001,Color:Brown;Size:XL,Sony,Kitchen;Smartphones
P0000061,Product 61,Description of Product 61,733.87,Toys,1005,1001,Color:Blue;Size:L,LG,Furniture;Smartphones
P0000062,Product 62,Description of Product 62,239.77,Furniture,1004,1001,Color:Blue;Size:L;Material:Plastic,Sony,Electronics;Gadgets
P0000063,Product 63,Description of Product 63,214.29,Kitchen,1003,1004,Color:White;Size:M;Material:Wood,Samsung,Gadgets;Living Room
P0000064,Product 64,Description of Product 64,720.68,Kitchen,1003,1003,Color:Blue;Size:S;Material:Plastic,Ikea,Smartphones;Home
P0000065,Product 65,Description of Product 65,74.85,Toys,1005,1002,Color:White;Size:L,Samsung,Home;Kitchen
P0000066,Product 66,Description of Product 66,777.49,Toys,1005,1003,Color:Black;Size:M,LG,Electronics;Gadgets
P0000067,Product 67,Description of Product 67,156.01,Furniture,1004,,Color:Black;Size:M;Material:Wood,Philips,Gadgets;Living Room
P0000068,Product 68,Description of Product 68,562.73,Home Appliances,1002,,Color:Blue;Size:S;Voltage:220V,Samsung,Smartphones;Utensils
P0000069,Product 69,Description of Product 69,316.53,Books,1006,1002,Color:Red;Size:XL,Panasonic,Kitchen;Furniture
P0000070,Product 70,Description of Product 70,22.78,Home Appliances,1002,1004,Color:Blue;Size:S;Voltage:220V,Ikea,Smartphones;Living Room
P0000071,Product 71,Description of Product 71,659.26,Electronics,1001,,Color:Black;Size:XL,LG,Utensils;Living Room
P0000072,Product 72,Description of Product 72,494.8,Kitchen,1003,,Color:Brown;Size:XL;Material:Steel,Samsung,Home;Kitchen
P0000073,Product 73,Description of Product 73,13.6,Toys,1005,1004,Color:Brown;Size:L,Panasonic,Kitchen;Gadgets
P0000074,Product 74,Description of Product 74,846.27,Kitchen,1003,1003,Color:Red;Size:S;Material:Plastic,Sony,Kitchen;Living Room
P0000075,Product 75,Description of Product 75,204.91,Electronics,1001,1004,Color:Black;Size:L,Sony,Utensils;Living Room
P0000076,Product 76,Description of Product 76,321.16,Toys,1005,1001,Color:Black;Size:L,Ikea,Home;Furniture
P0000077,Product 77,Description of Product 77,563.37,Furniture,1004,1004,Color:Black;Size:XL;Material:Plastic,Philips,Furniture;Utensils
P0000078,Product 78,Description of Product 78,315.63,Toys,1005,1005,Color:Brown;Size:XL,Sony,Living Room;Utensils
P0000079,Product 79,Description of Product 79,385.01,Books,1006,1002,Color:Red;Size:L,Sony,Electronics;Home
P0000080,Product 80,Description of Product 80,485.22,Furniture,1004,,Color:Brown;Size:M;Material:Plastic,Samsung,Smartphones;Home
P0000081,Product 81,Description of Product 81,829.18,Home Appliances,1002,,Color:Blue;Size:XL;Voltage:220V,Samsung,Electronics;Smartphones
P0000082,Product 82,Description of Product 82,969.64,Books,1006,1004,Color:Brown;Size:L,Panasonic,Gadgets;Smartphones
P0000083,Product 83,Description of Product 83,611.14,Home Appliances,1002,1002,Color:Red;Size:M;Voltage:110V,Ikea,Smartphones;Living Room
P0000084,Product 84,Description of Product 84,197.2,Home Appliances,1002,,Color:Brown;Size:S;Voltage:110V,Samsung,Kitchen;Furniture
P0000085,Product 85,Description of Product 85,854.64,Furniture,1004,1002,Color:Brown;Size:XL;Material:Steel,Ikea,Furniture;Kitchen
P0000086,Product 86,Description of Product 86,146.0,Furniture,1004,1005,Color:Brown;Size:M;Material:Steel,LG,Kitchen;Utensils
P0000087,Product 87,Description of Product 87,93.55,Electronics,1001,1004,Color:White;Size:S,Philips,Kitchen;Electronics
P0000088,Product 88,Description of Product 88,151.73,Furniture,1004,1004,Color:Brown;Size:XL;Material:Wood,Panasonic,Furniture;Smartphones
P0000089,Product 89,Description of Product 89,397.08,Kitchen,1003,1005,Color:White;Size:L;Material:Plastic,Panasonic,Furniture;Living Room
P0000090,Product 90,Description of Product 90,98.1,Home Appliances,1002,1004,Color:Brown;Size:L;Voltage:110V,Ikea,Gadgets;Smartphones
P0000091,Product 91,Description of Product 91,527.51,Furniture,1004,,Color:Red;Size:XL;Material:Steel,Samsung,Utensils;Smartphones
P0000092,Product 92,Description of Product 92,800.07,Kitchen,1003,1003,Color:Blue;Size:S;Material:Wood,Sony,Gadgets;Smartphones
P0000093,Product 93,Description of Product 93,299.96,Home Appliances,1002,1002,Color:Black;Size:L;Voltage:220V,LG,Gadgets;Home
P0000094,Product 94,Description of Product 94,703.94,Furniture,1004,1005,Color:White;Size:S;Material:Wood,LG,Utensils;Furniture
P0000095,Product 95,Description of Product 95,39.16,Kitchen,1003,1002,Color:Blue;Size:S;Material:Wood,LG,Gadgets;Electronics
P0000096,Product 96,Description of Product 96,960.59,Kitchen,1003,,Color:White;Size:S;Material:Steel,Samsung,Gadgets;Utensils
P0000097,Product 97,Description of Product 97,636.98,Books,1006,1001,Color:Black;Size:XL,LG,Utensils;Kitchen
P0000098,Product 98,Description of Product 98,776.75,Home Appliances,1002,1003,Color:Red;Size:L;Voltage:110V,Panasonic,Electronics;Home
P0000099,Product 99,Description of Product 99,847.14,Kitchen,1003,,Color:Black;Size:L;Material:Plastic,Panasonic,Smartphones;Furniture
P0000100,Product 100,Description of Product 100,964.26,Kitchen,1003,,Color:Black;Size:L;Material:Steel,LG,Utensils;Smartphones
P0000101,Product 101,Description of Product 101,622.04,Furniture,1004,1005,Color:Blue;Size:M;Material:Plastic,LG,Home;Utensils
P0000102,Product 102,Description of Product 102,574.03,Electronics,1001,1002,Color:Blue;Size:XL,LG,Home;Living Room
P0000103,Product 103,Description of Product 103,600.74,Furniture,1004,1005,Color:Blue;Size:S;Material:Steel,Ikea,Kitchen;Gadgets
P0000104,Product 104,Description of Product 104,297.87,Electronics,1001,1005,Color:Brown;Size:L,Ikea,Smartphones;Gadgets
P0000105,Product 105,Description of Product 105,464.86,Furniture,1004,1003,Color:Brown;Size:L;Material:Wood,Philips,Living Room;Gadgets
P0000106,Product 106,Description of Product 106,957.3,Kitchen,1003,,Color:Black;Size:M;Material:Plastic,Sony,Electronics;Kitchen
P0000107,Product 107,Description of Product 107,523.08,Furniture,1004,,Color:Black;Size:XL;Material:Steel,Ikea,Kitchen;Furniture
P0000108,Product 108,Description of Product 108,403.85,Home Appliances,1002,1002,Color:Blue;Size:XL;Voltage:110V,Panasonic,Electronics;Living Room
P0000109,Product 109,Description of Product 109,946.52,Books,1006,1002,Color:Blue;Size:S,Panasonic,Electronics;Utensils
P0000110,Product 110,Description of Product 110,627.9,Books,1006,1001,Color:Black;Size:S,Ikea,Living Room;Furniture
P0000111,Product 111,Description of Product 111,668.67,Toys,1005,1001,Color:Black;Size:L,Sony,Electronics;Smartphones
P0000112,Product 112,Description of Product 112,872.64,Furniture,1004,1003,Color:White;Size:L;Material:Wood,Samsung,Living Room;Home
P0000113,Product 113,Description of Product 113,792.48,Furniture,1004,1003,Color:Blue;Size:M;Material:Steel,Panasonic,Furniture;Utensils
P0000114,Product 114,Description of Product 114,612.7,Books,1006,1001,Color:White;Size:L,Samsung,Electronics;Furniture
P0000115,Product 115,Description of Product 115,490.9,Home Appliances,1002,1004,Color:White;Size:XL;Voltage:110V,Sony,Electronics;Smartphones
P0000116,Product 116,Description of Product 116,772.76,Kitchen,1003,1003,Color:Red;Size:S;Material:Wood,Ikea,Smartphones;Electronics
P0000117,Product 117,Description of Product 117,757.01,Home Appliances,1002,1004,Color:Black;Size:XL;Voltage:220V,Sony,Gadgets;Utensils
P0000118,Product 118,Description of Product 118,830.88,Home Appliances,1002,1004,Color:Blue;Size:L;Voltage:220V,Samsung,Utensils;Gadgets
P0000119,Product 119,Description of Product 119,983.69,Home Appliances,1002,1004,Color:Red;Size:XL;Voltage:110V,LG,Gadgets;Utensils
P0000120,Product 120,Description of Product 120,499.85,Books,1006,1001,Color:Brown;Size:S,Panasonic,Furniture;Home
P0000121,Product 121,Description of Product 121,647.15,Books,1006,1004,Color:Blue;Size:XL,Ikea,Gadgets;Home
P0000122,Product 122,Description of Product 122,770.07,Furniture,1004,1005,Color:Brown;Size:XL;Material:Steel,Ikea,Home;Kitchen
P0000123,Product 123,Description of Product 123,47.99,Toys,1005,1001,Color:Brown;Size:S,LG,Smartphones;Kitchen
P0000124,Product 124,Description of Product 124,16.71,Kitchen,1003,1005,Color:Red;Size:L;Material:Steel,Panasonic,Electronics;Smartphones
P0000125,Product 125,Description of Product 125,794.68,Home Appliances,1002,1004,Color:Brown;Size:M;Voltage:220V,Ikea,Home;Utensils
P0000126,Product 126,Description of Product 126,427.89,Toys,1005,1003,Color:Black;Size:M,LG,Smartphones;Furniture
P0000127,Product 127,Description of Product 127,761.72,Home Appliances,1002,1005,Color:White;Size:L;Voltage:220V,Samsung,Living Room;Gadgets
P0000128,Product 128,Description of Product 128,697.14,Books,1006,1003,Color:White;Size:XL,Ikea,Utensils;Smartphones
P0000129,Product 129,Description of Product 129,808.45,Home Appliances,1002,1002,Color:Blue;Size:M;Voltage:110V,Panasonic,Living Room;Smartphones
P0000130,Product 130,Description of Product 130,669.71,Home Appliances,1002,1005,Color:White;Size:XL;Voltage:220V,Ikea,Home;Gadgets
P0000131,Product 131,Description of Product 131,436.48,Kitchen,1003,1003,Color:Red;Size:XL;Material:Wood,LG,Utensils;Home
P0000132,Product 132,Description of Product 132,901.01,Home Appliances,1002,1003,Color:White;Size:S;Voltage:110V,Panasonic,Living Room;Kitchen
P0000133,Product 133,Description of Product 133,946.54,Home Appliances,1002,1003,Color:Red;Size:XL;Voltage:220V,Samsung,Gadgets;Living Room
P0000134,Product 134,Description of Product 134,371.32,Home Appliances,1002,1002,Color:Brown;Size:L;Voltage:110V,Samsung,Smartphones;Furniture
P0000135,Product 135,Description of Product 135,912.95,Electronics,1001,1004,Color:White;Size:XL,Sony,Furniture;Gadgets
P0000136,Product 136,Description of Product 136,295.41,Home Appliances,1002,1003,Color:Red;Size:L;Voltage:220V,LG,Gadgets;Electronics
P0000137,Product 137,Description of Product 137,901.65,Books,1006,1003,Color:Blue;Size:S,Philips,Living Room;Electronics
P0000138,Product 138,Description of Product 138,339.37,Furniture,1004,,Color:White;Size:M;Material:Plastic,Samsung,Utensils;Smartphones
P0000139,Product 139,Description of Product 139,203.06,Kitchen,1003,,Color:Red;Size:L;Material:Plastic,Panasonic,Utensils;Gadgets
P0000140,Product 140,Description of Product 140,291.76,Furniture,1004,1002,Color:White;Size:S;Material:Wood,Sony,Kitchen;Gadgets
P0000141,Product 141,Description of Product 141,800.19,Kitchen,1003,1005,Color:Blue;Size:S;Material:Plastic,LG,Utensils;Electronics
P0000142,Product 142,Description of Product 142,432.59,Books,1006,,Color:Black;Size:S,Panasonic,Home;Smartphones
P0000143,Product 143,Description of Product 143,793.02,Electronics,1001,1004,Color:Black;Size:M,Sony,Home;Electronics
P0000144,Product 144,Description of Product 144,851.95,Furniture,1004,1002,Color:Blue;Size:L;Material:Wood,Panasonic,Utensils;Kitchen
P0000145,Product 145,Description of Product 145,382.57,Furniture,1004,1001,Color:White;Size:S;Material:Plastic,Sony,Smartphones;Furniture
P0000146,Product 146,Description of Product 146,42.88,Books,1006,1005,Color:White;Size:S,Philips,Kitchen;Home
P0000147,Product 147,Description of Product 147,522.12,Electronics,1001,,Color:White;Size:XL,Panasonic,Utensils;Gadgets
P0000148,Product 148,Description of Product 148,519.28,Books,1006,1004,Color:Blue;Size:L,Philips,Kitchen;Utensils
P0000149,Product 149,Description of Product 149,824.35,Furniture,1004,1005,Color:Black;Size:L;Material:Wood,Panasonic,Gadgets;Smartphones
P0000150,Product 150,Description of Product 150,13.73,Home Appliances,1002,1001,Color:White;Size:S;Voltage:110V,Panasonic,Electronics;Gadgets
P0000151,Product 151,Description of Product 151,309.86,Furniture,1004,1001,Color:Black;Size:L;Material:Steel,Philips,Living Room;Smartphones
P0000152,Product 152,Description of Product 152,631.04,Books,1006,1002,Color:White;Size:S,Panasonic,Furniture;Kitchen
P0000153,Product 153,Description of Product 153,784.88,Home Appliances,1002,1003,Color:Black;Size:M;Voltage:220V,Samsung,Home;Living Room
P0000154,Product 154,Description of Product 154,167.91,Toys,1005,1004,Color:Black;Size:S,LG,Utensils;Electronics
P0000155,Product 155,Description of Product 155,298.6,Furniture,1004,1001,Color:Black;Size:S;Material:Steel,Sony,Smartphones;Utensils
P0000156,Product 156,Description of Product 156,341.09,Electronics,1001,1004,Color:White;Size:M,Sony,Kitchen;Home
P0000157,Product 157,Description of Product 157,30.61,Home Appliances,1002,1002,Color:Brown;Size:S;Voltage:220V,LG,Utensils;Furniture
P0000158,Product 158,Description of Product 158,348.46,Kitchen,1003,1002,Color:Black;Size:S;Material:Plastic,Panasonic,Smartphones;Utensils
P0000159,Product 159,Description of Product 159,907.36,Toys,1005,1005,Color:Black;Size:L,Philips,Electronics;Gadgets
P0000160,Product 160,Description of Product 160,188.4,Furniture,1004,1003,Color:White;Size:XL;Material:Steel,Ikea,Furniture;Smartphones
P0000161,Product 161,Description of Product 161,482.75,Home Appliances,1002,1001,Color:Blue;Size:S;Voltage:110V,Sony,Utensils;Kitchen
P0000162,Product 162,Description of Product 162,767.26,Home Appliances,1002,1003,Color:Black;Size:M;Voltage:220V,Samsung,Living Room;Kitchen
P0000163,Product 163,Description of Product 163,751.05,Kitchen,1003,1001,Color:Black;Size:S;Material:Plastic,Panasonic,Home;Gadgets
P0000164,Product 164,Description of Product 164,806.76,Electronics,1001,1005,Color:White;Size:XL,Ikea,Living Room;Gadgets
P0000165,Product 165,Description of Product 165,246.75,Toys,1005,1001,Color:Brown;Size:XL,LG,Furniture;Gadgets
P0000166,Product 166,Description of Product 166,645.66,Kitchen,1003,1001,Color:Brown;Size:XL;Material:Steel,Samsung,Furniture;Kitchen
P0000167,Product 167,Description of Product 167,723.92,Electronics,1001,1004,Color:White;Size:S,LG,Furniture;Electronics
P0000168,Product 168,Description of Product 168,45.39,Electronics,1001,1002,Color:Red;Size:XL,Panasonic,Kitchen;Utensils
P0000169,Product 169,Description of Product 169,854.53,Furniture,1004,1001,Color:Brown;Size:L;Material:Wood,Sony,Utensils;Electronics
P0000170,Product 170,Description of Product 170,232.65,Furniture,1004,1004,Color:Black;Size:S;Material:Plastic,Samsung,Living Room;Gadgets
P0000171,Product 171,Description of Product 171,319.85,Electronics,1001,1004,Color:White;Size:XL,LG,Electronics;Gadgets
P0000172,Product 172,Description of Product 172,172.5,Toys,1005,1003,Color:Brown;Size:S,Panasonic,Smartphones;Electronics
P0000173,Product 173,Description of Product 173,575.63,Electronics,1001,,Color:Red;Size:L,Panasonic,Smartphones;Home
P0000174,Product 174,Description of Product 174,625.98,Toys,1005,1003,Color:Black;Size:L,Philips,Kitchen;Electronics
P0000175,Product 175,Description of Product 175,241.32,Books,1006,1001,Color:Blue;Size:L,Panasonic,Smartphones;Utensils
P0000176,Product 176,Description of Product 176,197.35,Books,1006,,Color:Blue;Size:M,LG,Kitchen;Living Room
P0000177,Product 177,Description of Product 177,451.79,Home Appliances,1002,1002,Color:Brown;Size:M;Voltage:110V,Sony,Electronics;Gadgets
P0000178,Product 178,Description of Product 178,573.1,Electronics,1001,1002,Color:Brown;Size:S,Panasonic,Living Room;Home
P0000179,Product 179,Description of Product 179,821.38,Kitchen,1003,1001,Color:White;Size:S;Material:Plastic,Sony,Gadgets;Electronics
P0000180,Product 180,Description of Product 180,128.38,Kitchen,1003,1003,Color:Black;Size:M;Material:Plastic,Panasonic,Kitchen;Furniture
P0000181,Product 181,Description of Product 181,428.27,Home Appliances,1002,1003,Color:White;Size:XL;Voltage:220V,Sony,Living Room;Furniture
P0000182,Product 182,Description of Product 182,652.5,Books,1006,1004,Color:Blue;Size:XL,Sony,Utensils;Furniture
P0000183,Product 183,Description of Product 183,762.78,Furniture,1004,1004,Color:Black;Size:M;Material:Steel,Philips,Home;Furniture
P0000184,Product 184,Description of Product 184,159.27,Toys,1005,1001,Color:Red;Size:XL,Panasonic,Living Room;Utensils
P0000185,Product 185,Description of Product 185,121.94,Books,1006,1002,Color:White;Size:L,Sony,Gadgets;Utensils
P0000186,Product 186,Description of Product 186,408.27,Electronics,1001,1004,Color:Red;Size:S,Sony,Utensils;Furniture
P0000187,Product 187,Description of Product 187,860.65,Toys,1005,1003,Color:Black;Size:M,Samsung,Electronics;Furniture
P0000188,Product 188,Description of Product 188,384.68,Home Appliances,1002,1001,Color:Brown;Size:M;Voltage:220V,Samsung,Smartphones;Kitchen
P0000189,Product 189,Description of Product 189,779.61,Electronics,1001,1005,Color:Blue;Size:S,Philips,Furniture;Home
P0000190,Product 190,Description of Product 190,289.99,Electronics,1001,1001,Color:Brown;Size:S,Ikea,Electronics;Living Room
P0000191,Product 191,Description of Product 191,604.76,Kitchen,1003,1002,Color:White;Size:L;Material:Steel,Ikea,Home;Electronics
P0000192,Product 192,Description of Product 192,303.69,Furniture,1004,1005,Color:Red;Size:M;Material:Plastic,Sony,Electronics;Utensils
P0000193,Product 193,Description of Product 193,291.82,Home Appliances,1002,1002,Color:Blue;Size:XL;Voltage:110V,LG,Furniture;Living Room
P0000194,Product 194,Description of Product 194,598.76,Electronics,1001,1002,Color:Red;Size:S,Panasonic,Gadgets;Furniture
P0000195,Product 195,Description of Product 195,215.66,Furniture,1004,1003,Color:Red;Size:XL;Material:Steel,Ikea,Living Room;Furniture
P0000196,Product 196,Description of Product 196,621.29,Toys,1005,,Color:Blue;Size:L,Ikea,Gadgets;Utensils
P0000197,Product 197,Description of Product 197,168.26,Toys,1005,1004,Color:Black;Size:XL,Panasonic,Smartphones;Utensils
P0000198,Product 198,Description of Product 198,253.12,Electronics,1001,1004,Color:White;Size:L,Sony,Living Room;Utensils
P0000199,Product 199,Description of Product 199,178.27,Electronics,1001,,Color:Blue;Size:M,Samsung,Kitchen;Gadgets
P0000200,Product 200,Description of Product 200,681.02,Electronics,1001,1003,Color:White;Size:L,Philips,Living Room;Home
P0000201,Product 201,Description of Product 201,919.4,Books,1006,,Color:Blue;Size:L,Samsung,Smartphones;Kitchen
P0000202,Product 202,Description of Product 202,399.21,Furniture,1004,,Color:Blue;Size:XL;Material:Plastic,Philips,Living Room;Home
P0000203,Product 203,Description of Product 203,892.96,Furniture,1004,1005,Color:Red;Size:XL;Material:Plastic,Panasonic,Electronics;Smartphones
P0000204,Product 204,Description of Product 204,878.88,Furniture,1004,1003,Color:White;Size:XL;Material:Wood,LG,Furniture;Gadgets
P0000205,Product 205,Description of Product 205,564.06,Toys,1005,,Color:Red;Size:M,Sony,Home;Electronics
P0000206,Product 206,Description of Product 206,493.25,Books,1006,1003,Color:White;Size:L,Philips,Home;Utensils
P0000207,Product 207,Description of Product 207,605.24,Toys,1005,1005,Color:Brown;Size:XL,Sony,Kitchen;Smartphones
P0000208,Product 208,Description of Product 208,442.04,Books,1006,1003,Color:Blue;Size:XL,Ikea,Electronics;Kitchen
P0000209,Product 209,Description of Product 209,258.91,Toys,1005,1001,Color:White;Size:S,Samsung,Gadgets;Kitchen
P0000210,Product 210,Description of Product 210,423.88,Toys,1005,1001,Color:White;Size:L,Philips,Living Room;Home
P0000211,Product 211,Description of Product 211,439.57,Toys,1005,,Color:Brown;Size:S,Panasonic,Electronics;Living Room
P0000212,Product 212,Description of Product 212,45.32,Electronics,1001,1001,Color:White;Size:XL,Panasonic,Smartphones;Living Room
P0000213,Product 213,Description of Product 213,875.51,Kitchen,1003,1003,Color:Red;Size:L;Material:Steel,Panasonic,Utensils;Smartphones
P0000214,Product 214,Description of Product 214,523.85,Electronics,1001,1005,Color:Blue;Size:L,Samsung,Utensils;Furniture
P0000215,Product 215,Description of Product 215,360.48,Electronics,1001,1005,Color:Black;Size:S,Ikea,Utensils;Smartphones
P0000216,Product 216,Description of Product 216,797.34,Furniture,1004,,Color:Red;Size:XL;Material:Steel,Philips,Kitchen;Furniture
P0000217,Product 217,Description of Product 217,714.32,Books,1006,1002,Color:White;Size:S,Philips,Furniture;Smartphones
P0000218,Product 218,Description of Product 218,64.46,Books,1006,,Color:Black;Size:M,Ikea,Gadgets;Kitchen
P0000219,Product 219,Description of Product 219,910.26,Electronics,1001,1002,Color:White;Size:S,LG,Home;Smartphones
P0000220,Product 220,Description of Product 220,760.04,Furniture,1004,1002,Color:White;Size:XL;Material:Wood,Panasonic,Gadgets;Furniture
P0000221,Product 221,Description of Product 221,55.68,Furniture,1004,1004,Color:Blue;Size:S;Material:Plastic,Samsung,Gadgets;Home
